protein1	protein2	combined_score
GENE_0033	GENE_0107	468
GENE_0119	GENE_0089	304
GENE_0102	GENE_0185	849
STK11	GENE_0032	550
EPCAM	GENE_0067	896
GENE_0130	GENE_0078	151
GENE_0112	BARD1	288
GENE_0021	GENE_0004	777
GENE_0193	GENE_0008	789
GENE_0081	GENE_0046	299
GENE_0017	GENE_0044	843
GENE_0097	GENE_0071	874
GENE_0011	GENE_0146	506
GENE_0017	GENE_0033	258
GENE_0004	GENE_0166	159
GENE_0181	GENE_0056	426
GENE_0065	GENE_0092	695
GENE_0111	BRCA1	908
GENE_0172	GENE_0083	589
GENE_0115	GENE_0046	244
GENE_0157	GENE_0175	772
GENE_0104	GENE_0025	989
GENE_0118	MUTYH	547
GENE_0029	GENE_0069	737
GENE_0059	GENE_0040	709
GENE_0033	GENE_0034	203
GENE_0149	GENE_0043	582
GENE_0013	GENE_0144	522
GENE_0092	GENE_0004	898
GENE_0195	GENE_0095	516
GENE_0005	GENE_0104	316
GENE_0074	GENE_0187	687
GENE_0055	GENE_0129	993
GENE_0194	GENE_0079	497
GENE_0097	GENE_0181	461
MUTYH	GENE_0149	176
GENE_0100	GENE_0090	586
GENE_0121	GENE_0093	189
GENE_0027	GENE_0096	330
GENE_0131	GENE_0085	493
GENE_0131	GENE_0050	570
GENE_0066	GENE_0132	512
GENE_0178	GENE_0137	295
GENE_0022	MSH2	597
GENE_0149	GENE_0090	945
RET	GENE_0010	561
GENE_0180	GENE_0042	702
GENE_0027	GENE_0160	860
GENE_0052	GENE_0089	929
GENE_0195	GENE_0194	790
FANCA	GENE_0057	222
RAD51D	GENE_0068	307
GENE_0015	GENE_0062	312
GENE_0159	GENE_0055	788
GENE_0132	GENE_0122	927
GENE_0076	GENE_0075	532
GENE_0050	GENE_0110	312
GENE_0036	GENE_0153	921
GENE_0121	GENE_0023	945
GENE_0176	GENE_0114	855
GENE_0025	GENE_0010	507
GENE_0191	GENE_0074	265
GENE_0013	GENE_0078	944
BRCA2	GENE_0159	747
GENE_0014	GENE_0039	433
GENE_0140	GENE_0134	855
GENE_0120	GENE_0135	391
NF2	NBN	720
TSC1	GENE_0037	378
GENE_0001	GENE_0136	261
GENE_0008	GENE_0002	384
GENE_0186	GENE_0152	742
GENE_0035	GENE_0093	797
GENE_0069	GENE_0134	414
GENE_0098	GENE_0178	868
GENE_0045	GENE_0196	319
GENE_0054	GENE_0157	585
GENE_0002	GENE_0167	569
GENE_0123	MLH1	166
GENE_0191	GENE_0036	714
GENE_0115	GENE_0167	600
GENE_0053	TSC1	177
TSC1	GENE_0150	421
NBN	GENE_0090	727
GENE_0091	GENE_0180	466
GENE_0118	GENE_0175	877
GENE_0051	GENE_0065	868
GENE_0095	GENE_0038	238
GENE_0039	GENE_0027	194
GENE_0026	GENE_0000	982
GENE_0191	GENE_0185	725
GENE_0174	GENE_0090	478
GENE_0026	GENE_0008	661
GENE_0181	GENE_0060	827
GENE_0066	RAD51D	758
GENE_0020	GENE_0111	551
GENE_0087	GENE_0034	838
GENE_0037	BRIP1	231
BRCA1	FANCD2	164
CDH1	GENE_0114	265
GENE_0030	GENE_0126	317
GENE_0143	GENE_0146	643
GENE_0107	GENE_0070	789
GENE_0179	GENE_0029	511
GENE_0190	GENE_0152	254
FANCA	GENE_0005	881
GENE_0076	GENE_0170	337
RET	GENE_0193	544
GENE_0194	GENE_0055	242
GENE_0061	GENE_0120	862
GENE_0043	GENE_0106	574
GENE_0110	GENE_0000	743
GENE_0088	RET	526
GENE_0094	GENE_0166	270
GENE_0131	GENE_0015	164
GENE_0162	RAD51C	731
GENE_0056	RAD51C	315
GENE_0046	GENE_0091	683
PALB2	GENE_0085	787
GENE_0109	GENE_0122	750
GENE_0056	GENE_0166	611
BRCA2	GENE_0002	181
GENE_0006	GENE_0023	964
GENE_0191	GENE_0035	310
GENE_0086	NF1	791
GENE_0183	GENE_0022	418
NF1	GENE_0041	982
GENE_0003	GENE_0104	663
VHL	GENE_0180	335
GENE_0166	GENE_0047	798
GENE_0155	GENE_0029	592
GENE_0063	GENE_0061	207
GENE_0112	GENE_0172	449
GENE_0061	GENE_0150	385
GENE_0019	GENE_0115	835
GENE_0093	GENE_0149	956
GENE_0055	GENE_0138	840
GENE_0164	GENE_0168	273
GENE_0123	GENE_0196	436
GENE_0192	NBN	816
GENE_0162	GENE_0161	650
GENE_0196	GENE_0127	164
GENE_0133	GENE_0027	761
TP53	GENE_0191	303
GENE_0196	GENE_0151	738
GENE_0155	GENE_0150	410
GENE_0185	GENE_0167	472
GENE_0138	GENE_0051	973
GENE_0061	GENE_0170	693
MLH1	GENE_0039	229
GENE_0096	GENE_0159	708
GENE_0101	GENE_0063	434
GENE_0048	GENE_0143	391
GENE_0071	GENE_0042	377
GENE_0099	GENE_0192	319
MUTYH	GENE_0059	631
GENE_0020	RET	390
GENE_0165	GENE_0049	670
GENE_0133	GENE_0021	613
GENE_0090	GENE_0077	467
GENE_0047	GENE_0036	388
NF2	GENE_0104	504
GENE_0138	GENE_0059	744
GENE_0007	GENE_0095	203
NF2	GENE_0190	267
GENE_0022	GENE_0068	370
GENE_0180	PALB2	365
GENE_0082	GENE_0152	815
GENE_0171	GENE_0053	307
GENE_0198	GENE_0041	861
GENE_0153	GENE_0123	950
BRCA2	GENE_0165	651
GENE_0020	GENE_0169	464
GENE_0099	GENE_0062	891
GENE_0184	GENE_0057	371
GENE_0143	GENE_0101	773
GENE_0050	GENE_0046	164
GENE_0187	GENE_0129	520
GENE_0191	GENE_0080	737
GENE_0166	GENE_0195	940
MEN1	PALB2	253
GENE_0015	GENE_0053	488
GENE_0127	GENE_0139	835
GENE_0095	MEN1	480
GENE_0017	GENE_0021	328
RET	GENE_0094	918
GENE_0076	GENE_0053	274
GENE_0065	GENE_0021	152
GENE_0089	GENE_0040	399
GENE_0046	GENE_0054	214
GENE_0169	GENE_0076	196
RECQL	GENE_0063	990
GENE_0175	GENE_0030	542
GENE_0033	STK11	182
GENE_0089	GENE_0013	458
GENE_0189	GENE_0117	615
GENE_0082	GENE_0107	416
GENE_0037	GENE_0077	228
GENE_0100	GENE_0071	204
GENE_0018	GENE_0173	708
GENE_0166	GENE_0020	766
GENE_0073	GENE_0028	390
APC	GENE_0168	959
GENE_0003	GENE_0131	342
GENE_0141	GENE_0078	395
GENE_0192	GENE_0197	508
GENE_0132	GENE_0147	844
SMAD4	GENE_0140	397
GENE_0109	GENE_0007	679
GENE_0157	FANCA	171
GENE_0027	VHL	742
GENE_0167	GENE_0073	750
GENE_0050	GENE_0143	354
GENE_0001	GENE_0034	489
GENE_0145	GENE_0044	270
GENE_0010	GENE_0060	814
GENE_0001	CDH1	172
GENE_0000	GENE_0065	737
GENE_0039	GENE_0054	369
GENE_0003	GENE_0134	489
GENE_0081	ATM	627
GENE_0199	GENE_0052	951
GENE_0071	GENE_0124	200
GENE_0031	GENE_0120	724
GENE_0059	GENE_0084	152
GENE_0071	GENE_0149	159
GENE_0103	GENE_0038	791
GENE_0147	GENE_0078	302
GENE_0099	GENE_0199	251
GENE_0028	GENE_0198	320
GENE_0127	GENE_0110	473
GENE_0142	GENE_0079	842
GENE_0053	GENE_0156	762
GENE_0003	RET	603
GENE_0195	GENE_0151	904
GENE_0085	GENE_0018	446
GENE_0052	GENE_0158	532
GENE_0180	GENE_0079	332
GENE_0179	BARD1	660
GENE_0186	GENE_0184	748
GENE_0024	GENE_0133	914
GENE_0085	GENE_0005	915
GENE_0004	GENE_0153	854
GENE_0001	GENE_0085	838
GENE_0007	GENE_0036	330
GENE_0086	GENE_0178	562
BRCA1	GENE_0037	205
GENE_0009	GENE_0110	569
CHEK2	ATM	456
GENE_0043	NF1	834
GENE_0089	GENE_0034	466
GENE_0022	CDH1	501
GENE_0194	GENE_0058	947
GENE_0120	GENE_0190	720
GENE_0178	GENE_0146	850
GENE_0141	GENE_0011	783
GENE_0028	RAD51D	354
GENE_0000	GENE_0056	605
GENE_0008	GENE_0014	660
GENE_0192	GENE_0156	515
GENE_0104	GENE_0097	668
GENE_0041	GENE_0000	903
PTEN	GENE_0183	279
GENE_0146	GENE_0065	764
GENE_0055	GENE_0061	916
GENE_0198	GENE_0197	565
GENE_0101	GENE_0015	858
GENE_0060	GENE_0175	852
NF2	GENE_0045	594
GENE_0083	STK11	577
MUTYH	GENE_0124	473
GENE_0174	GENE_0173	819
GENE_0054	GENE_0089	644
GENE_0138	GENE_0052	624
VHL	GENE_0183	869
GENE_0094	GENE_0037	871
GENE_0190	GENE_0159	459
RAD51C	GENE_0174	866
GENE_0048	GENE_0114	327
SMAD4	GENE_0155	470
GENE_0045	GENE_0067	227
GENE_0170	GENE_0143	943
GENE_0099	GENE_0193	429
GENE_0064	GENE_0167	738
GENE_0050	GENE_0187	873
GENE_0161	GENE_0108	579
GENE_0177	GENE_0137	736
GENE_0103	GENE_0115	498
GENE_0170	GENE_0017	820
GENE_0161	GENE_0012	574
GENE_0072	GENE_0199	824
GENE_0184	GENE_0099	208
GENE_0177	GENE_0197	487
GENE_0016	GENE_0013	943
APC	SMAD4	838
PALB2	BARD1	229
GENE_0051	GENE_0050	516
GENE_0146	NF2	428
BARD1	GENE_0109	674
GENE_0158	GENE_0084	907
GENE_0179	TSC1	923
GENE_0022	GENE_0078	946
GENE_0061	MEN1	718
GENE_0181	GENE_0045	181
GENE_0115	MLH1	962
PTEN	GENE_0108	862
GENE_0075	CHEK2	916
GENE_0107	GENE_0069	948
GENE_0165	GENE_0139	311
GENE_0142	GENE_0030	682
GENE_0076	GENE_0031	766
SMAD4	GENE_0073	945
BRCA1	GENE_0063	970
GENE_0061	GENE_0184	925
GENE_0013	EPCAM	290
FANCA	BRCA1	855
GENE_0195	GENE_0077	934
GENE_0097	GENE_0163	469
GENE_0104	GENE_0079	857
GENE_0104	GENE_0162	315
GENE_0059	GENE_0027	964
GENE_0017	RECQL	735
RAD51C	MSH2	211
GENE_0087	GENE_0014	527
BRIP1	GENE_0163	253
ATM	GENE_0102	768
GENE_0186	GENE_0194	474
GENE_0011	GENE_0113	605
GENE_0130	GENE_0061	244
GENE_0015	GENE_0087	472
GENE_0092	GENE_0102	729
GENE_0078	GENE_0052	809
GENE_0140	GENE_0167	351
GENE_0168	GENE_0189	227
FANCA	GENE_0007	637
GENE_0000	GENE_0042	463
GENE_0133	GENE_0134	476
GENE_0011	GENE_0036	757
GENE_0074	GENE_0038	311
GENE_0197	GENE_0002	565
GENE_0095	BARD1	203
TSC1	GENE_0071	231
GENE_0112	GENE_0123	774
GENE_0042	VHL	348
GENE_0117	GENE_0120	453
GENE_0159	GENE_0009	732
GENE_0008	GENE_0049	843
MSH2	GENE_0047	925
GENE_0127	GENE_0014	695
GENE_0021	GENE_0168	860
GENE_0188	BRCA1	179
GENE_0138	GENE_0135	446
GENE_0041	GENE_0080	435
GENE_0038	GENE_0006	311
GENE_0016	GENE_0167	329
GENE_0061	GENE_0057	216
GENE_0102	PALB2	963
GENE_0090	GENE_0141	526
GENE_0001	GENE_0133	566
GENE_0165	GENE_0129	185
GENE_0088	GENE_0034	492
RET	GENE_0059	454
ATM	GENE_0104	435
TSC2	GENE_0074	462
GENE_0144	GENE_0029	878
GENE_0105	GENE_0134	565
GENE_0131	GENE_0060	338
GENE_0024	GENE_0026	308
GENE_0074	CHEK2	280
GENE_0061	GENE_0109	220
GENE_0179	GENE_0136	657
GENE_0015	GENE_0038	422
GENE_0123	GENE_0080	422
GENE_0078	RECQL	663
GENE_0135	PALB2	256
GENE_0090	GENE_0182	750
GENE_0085	GENE_0181	526
GENE_0154	GENE_0169	790
PTEN	GENE_0137	437
GENE_0003	GENE_0129	298
GENE_0199	GENE_0091	690
GENE_0001	GENE_0164	429
GENE_0096	GENE_0009	875
GENE_0190	GENE_0127	540
GENE_0126	GENE_0156	299
GENE_0057	GENE_0113	151
GENE_0057	GENE_0092	618
GENE_0071	GENE_0151	688
GENE_0011	GENE_0103	742
GENE_0079	GENE_0074	400
GENE_0022	GENE_0016	649
GENE_0035	GENE_0149	677
GENE_0000	GENE_0127	531
GENE_0014	TSC1	933
GENE_0101	GENE_0024	252
GENE_0142	GENE_0094	457
GENE_0053	GENE_0186	417
GENE_0126	GENE_0172	628
GENE_0100	GENE_0172	628
GENE_0146	GENE_0128	443
GENE_0022	GENE_0005	817
GENE_0043	GENE_0069	269
GENE_0108	MEN1	829
GENE_0015	GENE_0130	837
GENE_0184	GENE_0093	532
GENE_0146	GENE_0194	943
GENE_0031	GENE_0008	798
PTEN	RAD51C	487
GENE_0193	GENE_0127	908
GENE_0067	GENE_0149	526
GENE_0118	GENE_0154	897
RET	GENE_0076	943
GENE_0118	GENE_0163	715
GENE_0009	GENE_0074	537
GENE_0051	GENE_0158	593
GENE_0049	GENE_0113	680
GENE_0052	GENE_0114	567
GENE_0142	GENE_0020	694
GENE_0135	GENE_0125	795
GENE_0071	NF1	982
GENE_0055	GENE_0149	217
GENE_0151	GENE_0179	601
GENE_0071	GENE_0195	536
GENE_0108	GENE_0125	756
GENE_0119	GENE_0161	351
NF1	GENE_0077	305
GENE_0047	FANCA	517
GENE_0128	GENE_0031	579
GENE_0188	FANCA	943
GENE_0000	FANCA	818
GENE_0049	GENE_0035	823
GENE_0011	GENE_0009	296
GENE_0156	GENE_0029	539
GENE_0102	GENE_0155	346
GENE_0025	GENE_0093	709
GENE_0073	GENE_0137	160
GENE_0195	GENE_0046	523
RAD51C	GENE_0011	982
GENE_0156	GENE_0024	716
BRCA2	GENE_0059	343
GENE_0106	BRCA2	483
FANCD2	GENE_0000	654
GENE_0135	PTEN	176
GENE_0158	GENE_0145	766
GENE_0168	GENE_0124	628
GENE_0125	GENE_0196	509
GENE_0117	GENE_0147	172
GENE_0182	GENE_0130	989
GENE_0117	GENE_0144	399
MUTYH	GENE_0037	746
GENE_0126	TSC2	650
GENE_0156	GENE_0042	729
GENE_0010	SMAD4	788
RECQL	GENE_0109	244
GENE_0180	GENE_0149	599
GENE_0117	GENE_0075	738
BARD1	GENE_0067	467
GENE_0137	BARD1	250
BRCA2	GENE_0037	826
GENE_0190	GENE_0173	653
GENE_0010	NF1	210
GENE_0077	GENE_0007	646
GENE_0036	GENE_0051	258
GENE_0126	GENE_0155	501
GENE_0156	GENE_0093	935
GENE_0013	GENE_0042	917
GENE_0082	GENE_0077	817
GENE_0099	GENE_0096	597
GENE_0066	GENE_0120	951
GENE_0056	GENE_0180	375
GENE_0062	GENE_0026	990
GENE_0053	GENE_0063	275
GENE_0150	GENE_0157	943
GENE_0056	GENE_0048	711
GENE_0136	GENE_0147	795
GENE_0045	RAD51C	299
GENE_0030	GENE_0135	903
GENE_0018	GENE_0022	905
GENE_0046	GENE_0104	983
